,BEGIN_POST,END_POST,crash_num,crash,month,day,hour,min,zone_id
38,3.0,5.0,1,yes,3,6,20,11,9752.0
38,3.0,5.0,1,yes,3,6,20,11,6147.0
38,3.0,5.0,1,yes,3,6,20,11,6552.0
38,3.0,5.0,1,yes,3,6,20,11,6568.0
38,3.0,5.0,1,yes,3,6,20,11,6588.0
38,3.0,5.0,1,yes,3,6,20,11,7043.0
38,3.0,5.0,1,yes,3,6,20,11,7080.0
38,3.0,5.0,1,yes,3,6,20,11,7739.0
38,3.0,5.0,1,yes,3,6,20,11,9682.0
38,3.0,5.0,1,yes,3,6,20,11,9697.0
38,3.0,5.0,1,yes,3,6,20,11,9699.0
38,3.0,5.0,1,yes,3,6,20,11,9745.0
38,3.0,5.0,1,yes,3,6,20,11,9747.0
38,3.0,5.0,1,yes,3,6,20,11,9748.0
38,3.0,5.0,1,yes,3,6,20,11,9751.0
38,3.0,5.0,1,yes,3,6,20,11,9753.0
38,3.0,5.0,1,yes,3,6,20,11,13520.0
38,3.0,5.0,1,yes,3,6,20,11,13521.0
39,3.0,5.0,1,yes,2,4,22,18,6110.0
39,3.0,5.0,1,yes,2,4,22,18,6564.0
39,3.0,5.0,1,yes,2,4,22,18,6587.0
39,3.0,5.0,1,yes,2,4,22,18,6834.0
39,3.0,5.0,1,yes,2,4,22,18,7042.0
39,3.0,5.0,1,yes,2,4,22,18,7045.0
39,3.0,5.0,1,yes,2,4,22,18,7738.0
39,3.0,5.0,1,yes,2,4,22,18,9681.0
39,3.0,5.0,1,yes,2,4,22,18,9698.0
39,3.0,5.0,1,yes,2,4,22,18,9744.0
39,3.0,5.0,1,yes,2,4,22,18,9746.0
39,3.0,5.0,1,yes,2,4,22,18,9749.0
39,3.0,5.0,1,yes,2,4,22,18,9750.0
39,3.0,5.0,1,yes,2,4,22,18,9752.0
39,3.0,5.0,1,yes,2,4,22,18,6147.0
39,3.0,5.0,1,yes,2,4,22,18,6552.0
39,3.0,5.0,1,yes,2,4,22,18,6568.0
39,3.0,5.0,1,yes,2,4,22,18,6588.0
39,3.0,5.0,1,yes,2,4,22,18,7043.0
39,3.0,5.0,1,yes,2,4,22,18,7080.0
39,3.0,5.0,1,yes,2,4,22,18,7739.0
39,3.0,5.0,1,yes,2,4,22,18,9682.0
39,3.0,5.0,1,yes,2,4,22,18,9697.0
39,3.0,5.0,1,yes,2,4,22,18,9699.0
39,3.0,5.0,1,yes,2,4,22,18,9745.0
39,3.0,5.0,1,yes,2,4,22,18,9747.0
39,3.0,5.0,1,yes,2,4,22,18,9748.0
39,3.0,5.0,1,yes,2,4,22,18,9751.0
39,3.0,5.0,1,yes,2,4,22,18,9753.0
39,3.0,5.0,1,yes,2,4,22,18,13520.0
39,3.0,5.0,1,yes,2,4,22,18,13521.0
40,3.0,5.0,1,yes,2,6,8,10,6110.0
40,3.0,5.0,1,yes,2,6,8,10,6564.0
40,3.0,5.0,1,yes,2,6,8,10,6587.0
40,3.0,5.0,1,yes,2,6,8,10,6834.0
40,3.0,5.0,1,yes,2,6,8,10,7042.0
40,3.0,5.0,1,yes,2,6,8,10,7045.0
40,3.0,5.0,1,yes,2,6,8,10,7738.0
40,3.0,5.0,1,yes,2,6,8,10,9681.0
40,3.0,5.0,1,yes,2,6,8,10,9698.0
40,3.0,5.0,1,yes,2,6,8,10,9744.0
40,3.0,5.0,1,yes,2,6,8,10,9746.0
40,3.0,5.0,1,yes,2,6,8,10,9749.0
40,3.0,5.0,1,yes,2,6,8,10,9750.0
40,3.0,5.0,1,yes,2,6,8,10,9752.0
40,3.0,5.0,1,yes,2,6,8,10,6147.0
40,3.0,5.0,1,yes,2,6,8,10,6552.0
40,3.0,5.0,1,yes,2,6,8,10,6568.0
40,3.0,5.0,1,yes,2,6,8,10,6588.0
40,3.0,5.0,1,yes,2,6,8,10,7043.0
40,3.0,5.0,1,yes,2,6,8,10,7080.0
40,3.0,5.0,1,yes,2,6,8,10,7739.0
40,3.0,5.0,1,yes,2,6,8,10,9682.0
40,3.0,5.0,1,yes,2,6,8,10,9697.0
40,3.0,5.0,1,yes,2,6,8,10,9699.0
40,3.0,5.0,1,yes,2,6,8,10,9745.0
40,3.0,5.0,1,yes,2,6,8,10,9747.0
40,3.0,5.0,1,yes,2,6,8,10,9748.0
40,3.0,5.0,1,yes,2,6,8,10,9751.0
40,3.0,5.0,1,yes,2,6,8,10,9753.0
40,3.0,5.0,1,yes,2,6,8,10,13520.0
40,3.0,5.0,1,yes,2,6,8,10,13521.0
41,3.0,5.0,1,yes,3,31,16,37,6110.0
41,3.0,5.0,1,yes,3,31,16,37,6564.0
41,3.0,5.0,1,yes,3,31,16,37,6587.0
41,3.0,5.0,1,yes,3,31,16,37,6834.0
41,3.0,5.0,1,yes,3,31,16,37,7042.0
41,3.0,5.0,1,yes,3,31,16,37,7045.0
41,3.0,5.0,1,yes,3,31,16,37,7738.0
41,3.0,5.0,1,yes,3,31,16,37,9681.0
41,3.0,5.0,1,yes,3,31,16,37,9698.0
41,3.0,5.0,1,yes,3,31,16,37,9744.0
41,3.0,5.0,1,yes,3,31,16,37,9746.0
41,3.0,5.0,1,yes,3,31,16,37,9749.0
41,3.0,5.0,1,yes,3,31,16,37,9750.0
41,3.0,5.0,1,yes,3,31,16,37,9752.0
41,3.0,5.0,1,yes,3,31,16,37,6147.0
41,3.0,5.0,1,yes,3,31,16,37,6552.0
41,3.0,5.0,1,yes,3,31,16,37,6568.0
41,3.0,5.0,1,yes,3,31,16,37,6588.0
41,3.0,5.0,1,yes,3,31,16,37,7043.0
41,3.0,5.0,1,yes,3,31,16,37,7080.0
41,3.0,5.0,1,yes,3,31,16,37,7739.0
41,3.0,5.0,1,yes,3,31,16,37,9682.0
41,3.0,5.0,1,yes,3,31,16,37,9697.0
41,3.0,5.0,1,yes,3,31,16,37,9699.0
41,3.0,5.0,1,yes,3,31,16,37,9745.0
41,3.0,5.0,1,yes,3,31,16,37,9747.0
41,3.0,5.0,1,yes,3,31,16,37,9748.0
41,3.0,5.0,1,yes,3,31,16,37,9751.0
41,3.0,5.0,1,yes,3,31,16,37,9753.0
41,3.0,5.0,1,yes,3,31,16,37,13520.0
41,3.0,5.0,1,yes,3,31,16,37,13521.0
42,3.0,5.0,1,yes,2,22,13,10,6110.0
42,3.0,5.0,1,yes,2,22,13,10,6564.0
42,3.0,5.0,1,yes,2,22,13,10,6587.0
42,3.0,5.0,1,yes,2,22,13,10,6834.0
42,3.0,5.0,1,yes,2,22,13,10,7042.0
42,3.0,5.0,1,yes,2,22,13,10,7045.0
42,3.0,5.0,1,yes,2,22,13,10,7738.0
42,3.0,5.0,1,yes,2,22,13,10,9681.0
42,3.0,5.0,1,yes,2,22,13,10,9698.0
42,3.0,5.0,1,yes,2,22,13,10,9744.0
42,3.0,5.0,1,yes,2,22,13,10,9746.0
