zone_id,display_name,state,rtmc,timezone,road,direction,location_description,lane_type,organization,detector_type,latitude,longitude,bearing,default_speed,interval,length,FID,ROADWAY,COLOR_CODE,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,BEGIN_POST,END_POST,Shape_Leng,Shape__Len
"7043",I-4 W of C FL Pkwy-WB,District 5,Orlando,America/New_York,I-4,West,MVDS: I-4 at ORA MM070.3 ES,Unknown,FDOT,Single Loop,28.4032,-81.4817,,"60","30",,,,,,,,,3.000000000000000,5.000000000000000,,
"7080",I-4 @ C Fl Parkway-link2,District 5,Orlando,America/New_York,I-4,West,I-4 @ C Fl Parkway,Unknown,FDOT,Single Loop,28.4095,-81.4759,,"70","30",,,,,,,,,3.000000000000000,5.000000000000000,,
"7739",I-4 WB @ MM 065.2-WB,District 5,,America/New_York,I-4,West,MVDS: I-4 at OSC MM065.2 WS,Unknown,FDOT,Radar,28.34608,-81.53316,,"65","30",0.6,,,,,,,,3.000000000000000,5.000000000000000,,
"9682",I-4 EB @ MM 067.2-WB,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM067.2 ES,Unknown,FDOT,Radar,28.37083,-81.51028,,"45","30",0.7,,,,,,,,3.000000000000000,5.000000000000000,,
"9697",I-4 EB @ MM 067.2-WB-Rmp,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM067.2 ES,Unknown,FDOT,Radar,28.37083,-81.51028,,"45","30",0.7,,,,,,,,3.000000000000000,5.000000000000000,,
"9699",I-4 WB @ MM 065.8-WB,District 5,,America/New_York,I-4,West,MVDS: I-4 at OSC MM065.8 WS,Unknown,FDOT,Radar,28.35266,-81.5273,,"60","30",0.5,,,,,,,,3.000000000000000,5.000000000000000,,
"9745",I-4 EB @ MM 067.9-WB,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM067.9 ES,Unknown,FDOT,Radar,28.376656,-81.505186,,"60","30",0.7,,,,,,,,3.000000000000000,5.000000000000000,,
"9747",I-4 EB @ MM 068.6-WB,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM068.6 ES,Unknown,FDOT,Radar,28.3823,-81.5001,,"60","30",0.4,,,,,,,,3.000000000000000,5.000000000000000,,
"9748",I-4 WB @ MM 070.9-WB,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM070.9 WS,Unknown,FDOT,Radar,28.409973,-81.475991,,"60","30",1,,,,,,,,3.000000000000000,5.000000000000000,,
"9751",I-4 EB @ MM 070.3-WB,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM070.3 ES,Unknown,FDOT,Radar,28.4032,-81.4813,,"60","30",0.6,,,,,,,,3.000000000000000,5.000000000000000,,
"9753",I-4 EB @ MM 069.0-WB,District 5,,America/New_York,I-4,West,MVDS: I-4 at ORA MM069.0 ES,Unknown,FDOT,Radar,28.3877,-81.4952,,"60","30",0.7,,,,,,,,3.000000000000000,5.000000000000000,,
"13520",SR-535 NB-I4-EExt68-I4-WExt68,District 5,,America/New_York,SR-535 / Winter Garden Vineland Rd,North,BM: I-4 at ORA Exit 68 ES,Unknown,FDOT,AVI,28.372484,-81.50819,,"65","300",1,,,,,,,,3.000000000000000,5.000000000000000,,
"13521",SR-535 SB-I4-WExt68-I4-EExt68,District 5,,America/New_York,SR-535 / Winter Garden Vineland Rd,South,BM: I-4 at ORA Exit 68 WS,Unknown,FDOT,AVI,28.380791,-81.502075,,"65","300",1,,,,,,,,3.000000000000000,5.000000000000000,,
